id,video,title,upload_date,channel,views,description,chapters,segments,date_updated
24,TKXHxRzvNIE,Driving Southern California San Diego Coast in 8K Dolby Vision HDR - Oceanside to Pacific Beach,7052025,UCX_uGzVgYJuo_iuYSBqEr4g,107016,"I hope you enjoy this 2 hour drive along the coast of San Diego in California! In this epic driving video, we take you on a road trip from the charming town of Oceanside, all the way to the upscale town of La Jolla California   Our road trip begins in Oceanside, a coastal gem known for its long sandy beaches, vibrant pier, and relaxed beach town atmosphere. We'll start by exploring the iconic Oceanside Pier and its surroundings, enjoying the crashing waves and the sight of surfers catching their perfect waves.  As we hit the road, you'll witness the transformation of the landscape from laid-back beachfront to the bustling city life of San Diego. Cruise along the historic Highway 101, which offers picturesque views and a glimpse of charming beach communities that make up the heart of Southern California.  Our journey continues through the scenic towns of Carlsbad, Encinitas, and we end at sunset in La Jolla, each with its unique attractions and breathtaking coastal vistas.   Join us on this unforgettable San Diego coastal journey that captures the essence of this beautiful region. Whether you're planning your own road trip or just looking for a virtual escape, this video will inspire and immerse you in the natural beauty and rich culture of San Diego.  Don't forget to like, subscribe, and hit the notification bell to stay updated with our travel adventures. Share your thoughts in the comments below and let us know if you've experienced this iconic coastal drive yourself!  If you enjoyed this video please like and subscribe and I will create more videos like it.  I will reply to every comment on this video. Thank you for your support.   Best viewed in 8K or 4k HDR TVs.  This video was captured with 3D Binaural Audio ASMR.  Although the audio can be enjoyed with any speakers, headphones provides an immersive experience.  #pacificcoasthighway  #Driving #California #PCH  #drivingtour #sunsetdrive  #sunset  #california #freeway #beach   [8K HDR] Driving Southern California San Diego Coast in 8K HDR Dolby Vision - Oceanside CA to Pacific Beach CA San Diego 8K 4K HDR 60fps with 3D Binaural Audio ASMR  Recording Date: 2025  Timestamps: 0:00:00 Preview 0:01:34 Camp Pendelton Vista Overlook 0:2:00 5 FWY South to San Diego Coastal Drive 0:10:30 Oceanside 0:29:30 Carsbad 0:46:27 Encinitas 0:57:00 Solana Beach 1:04:00 Del Mar 1:08:00 Torrey Pines 1:10:00 University of California San Diego 1:15:53 La Jolla Shores 1:22:28 Village of La Jolla 1:35:48 La Jolla 1:42:00 Pacific Beach     Stuff I Use HDR Mastering Monitor:  LG 77-inch Class OLED Z2 Series 8K  https://amzn.to/3scOUPi Favorite Drone: Mavic 3 Pro Cine https://amzn.to/3Mm48Iv Travel Drone: Mavic 3 Mini https://amzn.to/3Xl3L42 Waterproof Carry-On: Pelican https://amzn.to/3k5xEHq Gimbal: https://amzn.to/3k3Cg0C Video Storage: https://amzn.to/3CxrAxx Waterproof Camera Bag: https://amzn.to/3CxrAxx Driving Glasses:  Raybans https://amzn.to/3iwuewL Travel Headphones: Apple https://amzn.to/3k74YO4 Studio Headphones: Apple https://amzn.to/3ZmH80Z Software: Adobe CC https://amzn.to/3ZpiP2F   Custom Built Gaming Editing PC CPU: Intel https://amzn.to/3WWVFyQ GPU: NVIDIA https://amzn.to/3XmdmYG Motherboard: https://amzn.to/3ZmJtsR RAM: Kingston https://amzn.to/3WVzpp4 Silent Case: Corsair Silent https://amzn.to/3GQNpeg Gaming Monitor:  https://amzn.to/3D5DTll Gaming Mouse: Logitech G https://amzn.to/3WVzpp4 Gaming Keyboard: Logitech G https://amzn.to/3XBvNZx Gaming Headset: Arctis Nova Pro Wireless https://amzn.to/3X1nMNi Recommended Products Make Life Easier: Roborock S7MaxV Ultra  https://amzn.to/3QqG5ZX  'Freedom' by Scott Buckley - released under CC-BY 4.0. www.scottbuckley.com.au   All Footage in this video is copyright under licensed or created by me. All footage edited And color corrected by me.  Do not reproduce or reupload.   Thank you for watching and your support!  Copyright © 2025 Relaxing Scenes All Rights Reserved.","[{'title': 'Preview', 'timestamp': '0:00:00'}, {'title': 'Camp Pendelton Vista Overlook', 'timestamp': '0:01:34'}, {'title': '5 FWY South to San Diego Coastal Drive', 'timestamp': '0:02:00'}, {'title': 'Oceanside', 'timestamp': '0:10:30'}, {'title': 'Carsbad', 'timestamp': '0:29:30'}, {'title': 'Encinitas', 'timestamp': '0:46:27'}, {'title': 'Solana Beach', 'timestamp': '0:57:00'}, {'title': 'Del Mar', 'timestamp': '1:04:00'}, {'title': 'Torrey Pines', 'timestamp': '1:08:00'}, {'title': 'University of California San Diego', 'timestamp': '1:10:00'}, {'title': 'La Jolla Shores', 'timestamp': '1:15:53'}, {'title': 'Village of La Jolla', 'timestamp': '1:22:28'}, {'title': 'La Jolla', 'timestamp': '1:35:48'}, {'title': 'Pacific Beach', 'timestamp': '1:42:00'}]",6,3062025
25,nOpWVPjw-IY,Downtown Tahiti to Taihupoo and around the whole island (No sound),7042023,UCVjiW0ZF3rN1396YYGSnQDw,224,"Ever want to see what it's like to drive around Tahiti - the whole island? Here it is! We start from the ferry terminal parking lot downtown, head to Carrefour for a quick stop, then move onwards to Teahupoo, where the summer Olympics hosted by France will have their surfing competition. Enjoy the drive. It has no sound because I was playing music on the radio, and that will create copyright issues.",[],6,3062025
26,GfNrMYXygM4,Italy 4K - Steady Rain - Scenic Drive,16082022,UCBcVQr-07MH-p9e2kRTdB3A,511032,"Afternoon drive around Lake Como in the rain.  Hope you enjoy it! Route: https://goo.gl/maps/CU9cgwvGSqgH4NhT9 .  Lake Como, in Northern Italy’s Lombardy region, is an upscale resort area known for its dramatic scenery, set against the foothills of the Alps. The lake is shaped like an upside-down Y, with three slender branches that meet at the resort town of Bellagio. At the bottom of the southwest branch lies the city of Como, home to Renaissance architecture and a funicular that travels up to the mountain town of Brunate. ― Google  https://goo.gl/maps/83MzMtMXsr7X17cq5  Milan, a metropolis in Italy's northern Lombardy region, is a global capital of fashion and design. Home to the national stock exchange, it’s a financial hub also known for its high-end restaurants and shops. The Gothic Duomo di Milano cathedral and the Santa Maria delle Grazie convent, housing Leonardo da Vinci’s mural “The Last Supper,” testify to centuries of art and culture. ― Google  https://goo.gl/maps/GhiS5rvF1GHcfBmm9  Format: 4K60FPS HDR Say ""Hello!"" on Instagram: https://instagram.com/utahj199 ""I Love Miami"" T-Shirts Here!:  https://j-utah-teespring-store.creator-spring.com",[],6,3062025
27,EhWzJZX_Rss,Rainy Rural Swiss Villages - Switzerland 4K - Scenic Drive,31032025,UCBcVQr-07MH-p9e2kRTdB3A,10856,"Driving through the rural Swiss Alps from Guttannen Switzerland to Interlacken Switzerland in a light relaxing rain. Say hello on my other socials!  Currently uploading shorts on FB, IG, TT, and Snap!Wrapping up the footage from this last trip. New trips in the works. Hope you're having a great day!  More rainy day drives here: https://www.youtube.com/playlist?list=PLvEhUAlWIdM2woeh3RcCMKHjrHS9QXubo  American Express Business Platinum Card: https://tinyurl.com/2y942kaf Amex Global Lounge Collection Airport Search: https://tinyurl.com/s9xkwx46 Priority Pass: https://tinyurl.com/u6wue43n (Not affiliate links. If you enjoy the videos and want to help me produce content, DM/email me for affiliate links where we both get points and perks. I currently can do this for Amex Business Cards & Chase Ink Business Cards. Thank you!)  YouTube https://www.youtube.com/@jutah Instagram https://www.instagram.com/j_utah99/ Twitter https://twitter.com/jutah99 Join this channel to get access to perks: https://www.youtube.com/channel/UCBcVQr-07MH-p9e2kRTdB3A/join  Switzerland is a mountainous Central European country, home to numerous lakes, villages and the high peaks of the Alps. Its cities contain medieval quarters, with landmarks like capital Bern’s Zytglogge clock tower and Lucerne’s wooden chapel bridge. The country is also known for its ski resorts and hiking trails. Banking and finance are key industries, and Swiss watches and chocolate are world renowned.  https://goo.gl/maps/rr8rBYKjdfGo4TdBA",[],6,3062025
28,sh-nsMhk_3k,Driving Through Entire Liechtenstein,19122021,UCShvWgyg1akkI7Fn0q8-IRw,1744,"So in this Video we´re going to drive through Liechtenstein in it´s entirety. A complete / full walkthrough or drivethrough if you want so. It is a huge country and driving along it´s complete length should take a while. Well, enjoy a complete Liechtenstein trip in a single video! Featuring: Vaduz, Balzers, Triesen, Schaan, Nendeln & Schaanwald. Enjoy!  #liechtenstein #drivinginliechtenstein #microstate",[],6,3062025
29,9_ZXbRo4EN4,4K Video!! Exploring Kenya // From NYERI Town to NYAHURURU Town // Road Trip Adventure!!,26042025,UCmKcQFlFJjc4ruSf2clPM-w,287,"Join us on an exhilarating 4K road trip adventure as we explore the breathtaking landscapes and vibrant culture of Kenya!  In this episode, we journey from the scenic Nyeri Town, nestled in the heart of the Central Highlands, to the beautiful Nyahururu Town, famous for its stunning waterfalls and rich history.  Experience the stunning views of the Aberdare Mountain Range, lush tea plantations, and the warm hospitality of the local communities along the way. We'll stop at iconic landmarks, indulge in local delicacies, and share fascinating stories about the heritage of this remarkable region. Whether you're a travel enthusiast or simply looking to explore new places from the comfort of your home, this video captures the essence of a true Kenyan adventure. Don't forget to like, share, and subscribe for more travel content! Highlights: Stunning 4K visuals of the Kenyan landscape Local culture and cuisine Historical insights and landmarks Tips for traveling in Kenya  Join us for this unforgettable journey and let the spirit of adventure inspire your next travel plans!",[],6,3062025
30,hpyk9hHgfQA,レソト Lesotho 4k drive,11082023,UCTnoGY7VGoJrE3qwSBZqkcg,1829,✅Featured Video https://youtu.be/NeOSg6zhDPI  https://youtu.be/wjGq4ibrk7Q  https://youtu.be/1vtcvN_AnnE  https://youtu.be/aqVOHeBIbtA,[],6,3062025
31,W3sdsRY3lak,Faroe Islands drive series ③ Streymoy island  Faroe Islands 🇫🇴,30062024,UCH1Mp77_k2IWQVs7BIdm_Fg,381,#travel #2023 #europe #greatview #denmark #faroeislands #driving #travellife #beautifuldestinations,[],6,3062025
32,RRTlWvRLmRc,Driving on the Faroe Islands: Eiđi to Sørvágur,15082021,UCYb2EsJuIMV-q436BSJiXhg,6785,"Listening to Om ""Advaitic Songs""  https://omband.bandcamp.com/",[],6,3062025
33,M0DOTYYpZXs,,,,,,,6,3062025
34,RfJU_cFcVBc,,,,,,,6,3062025
35,ghwg7XR9hYo,Driving in Liechtenstein | relaxed drive through Liechtenstein villages and landscapes,29042023,UCOpfzYU2yx_D4Ve1qJqfyhA,5338,Liechtenstein | Drive through the most beautiful villages Liechtenstein is the 4th smallest country in Europe. The direct neighbors are Switzerland and Austria.  There is no border between Switzerland and Liechtenstein. Liechtenstein has been part of the Swiss economic area since 1923.  Accompany me on a tour (57 km) through wonderful villages in Liechtenstein.  THANK YOU FOR WATCHING MY CHANNEL.  Please support my channel by subscribing  Another video from Liechtenstein: https://youtu.be/Z0Y1qIWhDU0  INFO:  https://www.google.com/maps/place/Liechtenstein,[],6,3062025
36,5FMGg6JoYAA,The Most AMAZING Driving Experience You'll Ever Have,1052022,UCrQQVxEECQd0lHBdCgcSZSw,0,,[],5,3062025
37,fNkMoxcJNkg,Road Trip: Maseru to Mohale,21042025,UCWK0oEc39hg2Emcvtn0azhA,118,"In this video we drive from Maseru   to Mohale (Lesotho). Come with us as we explore the beautiful landscape of Lesotho.  Background music:  Beat Your Competition - Vibe Tracks   Alternate - Vibe Tracks Heart Break - Vibe Tracks Jack in the Box - Silent Partner Malmo Sunrise - The 126ers Microchip - Jason Farnham Parasail - Silent Partner Pickup Truck • Silent Partner • No Copyright Music • Royalty Free Music  Triangles - Silent Partner Whisper - Riot  Please subscribe, like, comment and share.",[],5,3062025
38,OZ3DOPUKxuE,Andorra to Spain by car (4K POV Drive),1032025,UCeaLkQCZ2LLKwenAC1Eem6A,5321,"Join me on an incredible drive from Andorra la Vella, the heart of Andorra, through the stunning Pyrenees into northern Spain. This route takes us across winding mountain roads, deep valleys, and charming rural landscapes, offering a perfect mix of adventure and tranquility.  First Andorra video is here: https://www.youtube.com/watch?v=F9lmr2VsEcQ  As we leave the bustling capital behind, we ascend through picturesque alpine scenery, passing lush forests, steep cliffs, and sharp hairpin turns. Crossing into Spain, the road transforms into a peaceful countryside route, leading to the quiet village of Els Hostalets de Tost, a hidden gem surrounded by nature.  🎥 Highlights include:  🏔 Scenic Mountain Views – Enjoy breathtaking panoramas of the Pyrenees. 🚗 Twisting Alpine Roads – Experience thrilling curves and elevation changes. 🏡 Crossing into Spain – A seamless transition from Andorra’s rugged peaks to Catalonia’s rolling hills.  🌟 Features:  📷 POV driving experience with immersive visuals and natural road sounds. 🛣 Uninterrupted footage showcasing the beauty of the Andorran-Spanish border. 🎬 Perfect for travel inspiration, road trip planning, or a relaxing scenic drive.  🌍 Route Details:  📍 Starting Point: Andorra la Vella, Andorra 🇦🇩 (https://maps.app.goo.gl/zgPvUePa7SuRTBXf7) 📍 Ending Point: Els Hostalets de Tost, Spain 🇪🇸 (https://maps.app.goo.gl/cgmQHynEfWDZN87j6) ⏳ Duration: ~40 min  🚗 Buckle up and enjoy this picturesque drive through one of Europe’s most scenic mountain regions! Don’t forget to like, comment, and subscribe for more road trip adventures. 🌍✨",[],5,3062025
39,bFuY-jXE2bs,"Driving from Kill Devil Hills, North Carolina to Chesapeake, Virginia, USA",6062022,UCvXkpzL0ObfACNs_Wv7u4CQ,892,"Driving from Kill Devil Hills, North Carolina to Chesapeake, Virginia, USA  Chesapeake is an independent city in the Commonwealth of Virginia. As of the 2020 census, the population was 249,422, it is the second-most populous independent city in Virginia, tenth-largest in the Mid-Atlantic, and the 90th most populous city in the United States.  Chesapeake is included in the Virginia Beach–Norfolk–Newport News, VA–NC, MSA. One of the cities in the South Hampton Roads, Chesapeake was organized in 1963 by voter referendums approving the political consolidation of the city of South Norfolk with the remnants of the former Norfolk County, which dated to 1691. (Much of the territory of the county had been annexed by other cities.) Chesapeake is the second-largest city by land area in the Commonwealth of Virginia, and the 17th-largest in the United States.  Chesapeake is a diverse city in which a few urban areas are located; it also has many square miles of protected farmland, forests, and wetlands, including a substantial portion of the Great Dismal Swamp National Wildlife Refuge. Extending from the rural border with North Carolina to the harbor area of Hampton Roads adjacent to the cities of Norfolk, Portsmouth, Suffolk, and Virginia Beach, Chesapeake is located on the Atlantic Intracoastal Waterway. It has miles of waterfront industrial, commercial and residential property.  In 2011, Chesapeake was named the 21st best city in the United States by Bloomberg Businessweek. Chesapeake is home to the international Headquarters for Dollar Tree.",[],5,3062025
40,sJ0KUfulWF0,Drive with me from Kigali - Rwamagana - Kayonza. 2023,17052023,UCHELNMMc73LshDQQ4Kf80ig,195,"A very clean ride from Kigali to Kayonza .Rwanda  Let me know if you want more videos like this, I will be happy to share that with you. Don't forget to comment, like the video, Share and Subscribe! Follow me on Instagram.com/kemgkingface My music Channel: https://www.youtube.com/@UCSZCAfaEvrBY49F0R7iGd5Q    Song: Justhea - Travel (Vlog No Copyright Music) Video Link: https://youtu.be/xSekRoYIU28",[],5,3062025
41,SIi1fFNRGTU,Driving in Liechtenstein | from Planken to Balzers | 4K,28052023,UCOpfzYU2yx_D4Ve1qJqfyhA,3797,Driving in Liechtenstein | from Planken to Balzers  Liechtenstein | Drive through the most beautiful villages Liechtenstein is the 4th smallest country in Europe. The direct neighbors are Switzerland and Austria.  There is no border between Switzerland and Liechtenstein. Liechtenstein has been part of the Swiss economic area since 1923.  Accompany me on a tour through wonderful villages in Liechtenstein.  THANK YOU FOR WATCHING MY CHANNEL.  Please support my channel by subscribing  Another video from Liechtenstein: https://youtu.be/Z0Y1qIWhDU0  INFO:  https://www.google.com/maps/place/Liechtenstein  #4k  #driving  #Driving in Liechtenstein #Travel Video FJM #Planken,[],5,3062025
